name	type	country	administered_by	location	year_est	year_closed	display_year_est	display_year_closed	status	notes	auto_tooltip	lat	lon
Aboa	Summer	Finland	Finnish Antarctic Research Program	Queen Maud Land	1988				active			-73.0422	-13.4072
Aguirre Cerda	Summer	Chile	Instituto Antártico Chileno	Deception Island	1955	1967			closed	Destroyed by volcanic eruption in 1967.		-62.9336	-60.5958
Amundsen–Scott South Pole	Permanent	United States	United States Antarctic Program	Geographical South Pole	1957				active	Located at South Pole, the southernmost place on Earth. Continuously occupied since it was built, it has been rebuilt, demolished, expanded, and upgraded several times since opening.	TRUE	-90	0
Arctowski	Permanent	Poland	Polish Academy of Sciences	King George Island	1977				active			-62.1603	-58.4733
Arrival Heights Laboratory	Permanent	New Zealand	Antarctica New Zealand	Ross Island	1959				active			-77.8306	166.6611
Arrival Heights Satellite Station	Permanent	New Zealand	Antarctica New Zealand	Ross Island	1959				active			-77.8300	166.6617
Artigas	Permanent	Uruguay	Uruguayan Antarctic Institute	King George Island	1984				active			-62.1844	-58.9039
Arturo Parodi	Summer	Chile	Instituto Antártico Chileno	Ellsworth Land	1999	2014			closed			-80.3042	-81.3869
Arturo Prat	Permanent	Chile	Chilean Navy	Greenwich Island	1947				active	First Chilean station.		-62.4789	-59.6644
Asuka	Summer	Japan	National Institute of Polar Research	Queen Maud Land	1985	1986			closed			-71.5258	24.1114
Beaver Lake	Summer	Australia	Australian Antarctic Division	Beaver Lake	1995				active			-70.7950	68.1689
Belgrano I	Permanent	Argentina	Instituto Antártico Argentino	Filchner-Ronne Ice Shelf	1955	1980			closed			-77.7667	-38.1833
Belgrano II	Permanent	Argentina	Instituto Antártico Argentino	Coats Land	1979				active	Argentina’s southernmost permanent base, and third southernmost permanent base on the planet. World’s southernmost base built on solid rock, which is advantageous for seismological and geological research.	TRUE	-77.8736	-34.6275
Belgrano III	Permanent	Argentina	Instituto Antártico Argentino	Berkner Island	1980	1984			closed			-77.9006	-45.7836
